PC1,PC2
6.121605002659113,4.360653157047288
5.440622816248269,3.0520432381110685
6.430477426424799,4.335175038824999
-0.7889687282511619,0.4134952824840212
6.8171913158780075,1.4329769877324658
5.976708707721839,3.2653384097962235
5.981951676993352,0.45142583897351507
5.608506492428073,1.9805398286320874
4.699240255290592,-1.6067651193177697
-1.8858470442766786,0.29116796078009005
5.156068223323438,2.081375385047676
5.664599440828906,-0.15187262325360035
3.315707377385534,-2.296889932918346
4.477676217332899,1.8736206884906823
6.100747379522428,-0.9449747472796105
5.291207396993729,3.508892443090702
5.217353381764083,2.2004427721777398
5.357316681361464,2.8930313008503474
-2.151685472532938,0.050930571792895445
-2.4553642571465524,0.30774805500272545
4.882126258388056,-1.2502932132095101
4.775532059392011,1.5974540150665963
-1.4022295978908617,0.07768294170552129
4.204401323265162,3.3264417032133933
2.3450498476313335,-2.6052177860870738
5.6289165499457665,3.0685412136403305
5.555351202311282,2.2959061270038
5.118465469578677,-1.7261852595612694
4.582980884498741,1.7990403530451209
3.9517682817465305,3.8624852747294542
5.26290678134278,1.4423947709107763
5.569752168382506,1.7020670363969228
5.07830679646519,1.9772293737392759
4.39989250130727,2.5182834734333346
3.9375260590494046,-1.8577722632767124
5.538296400918604,-0.5232090090651881
5.401343031579246,1.5318335637262641
-2.4780343379791443,0.9717279419352572
3.409978368177109,2.717885886688189
3.124104736156237,-2.232123421395421
-3.039733013373454,0.027048618679606302
-3.6730207581097396,-0.24146777192927182
4.677508508324916,-1.5568147952104407
3.560753965748679,2.9367632463371245
3.3816132849762885,-2.6227728510921895
5.696194764665589,0.12142602463633739
-3.070291804326188,-0.016797588420065387
4.525733561834644,2.2490722517522306
4.0809245099381295,2.3423024029925656
5.292060674729927,0.14731960359260043
3.8315839710523214,3.3348156028669904
3.7203237067911403,-1.6297583585968667
4.867444454773562,0.3471595633838758
4.69904205247847,0.16015527981861255
3.269912068450856,-1.7537216141286287
4.550771630175427,2.8900280480252087
4.331880831874259,2.425406051364073
-1.4915770170191172,0.4821527479734926
4.487819757273925,2.6145331162976935
4.1370361220314775,-1.7631766170905698
4.522433616756039,2.7536423173561064
5.266275611051243,1.0746643496264314
3.885486648898929,-1.6381601875982386
4.824673963951248,-0.07186889335644611
